,전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),경로코드
616,3762,산곡,Sangok,07호선,760,山谷,サンゴク,760
617,3763,석남,Seongnam,07호선,761,石南,ソクナム,761
618,4101,개화,Gaehwa,09호선,901,開花,開化,901
619,4102,김포공항,Gimpo Intl. Airport,09호선,902,金浦空港,金浦空港,902
620,4104,신방화,Sinbanghwa,09호선,904,新傍花,新傍花,904
621,4105,마곡나루,Magongnaru,09호선,905,麻谷渡口,マゴクナル,905
622,4106,양천향교,Yangcheon Hyanggyo,09호선,906,陽川鄕校,陽川鄕校,906
623,4107,가양,Gayang,09호선,907,加陽,加陽,907
624,4108,증미,Jeungmi,09호선,908,曾米,曾米,908
625,4109,등촌,Deungchon,09호선,909,登村,登村,909
626,4110,염창,Yeomchang,09호선,910,鹽倉,鹽倉,910
627,4111,신목동,Sinmokdong,09호선,911,新木洞,新木洞,911
628,4112,선유도,Seonyudo,09호선,912,仙遊島,仙遊島,912
629,4113,당산,Dangsan,09호선,913,堂山,堂山,913
630,4114,국회의사당,National Assembly,09호선,914,國會議事堂,國會議事堂,914
631,4115,여의도,Yeouido,09호선,915,汝矣島,汝矣島,915
632,4116,샛강,Saetgang,09호선,916,Saetgang,Saetgang,916
633,4117,노량진,Noryangjin,09호선,917,鷺梁津,鷺梁津,917
634,4118,노들,Nodeul,09호선,918,Nodeul,Nodeul,918
635,4119,흑석,Heukseok,09호선,919,黑石,黑石,919
636,4122,신반포,Sinbanpo,09호선,922,新盤浦,新盤浦,922
637,4124,사평,Sapyeong,09호선,924,砂平,砂平,924
638,4125,신논현,Sinnonhyeon,09호선,925,新論峴,新論峴,925
639,4126,언주,Eonju,09호선,926,彦州,オンジュ,926
640,4127,선정릉,Seonjeongneung,09호선,927,宣靖陵,ソンジョンヌン,927
641,4128,삼성중앙,Samseong Jungang,09호선,928,三成中央,サムソン チュンアン,928
642,4130,종합운동장,Sports Complex,09호선,930,綜合運動場,チョンハ ブンドンジャン,930
643,4131,삼전,Samjeon,09호선,931,三 田,サムジョン,931
644,4132,석촌고분,Seokchon Gobun,09호선,932,石村古墳,ソクチョンコブン,932
645,4133,석촌,Seokchon(Hansol Hospital),09호선,933,石村,ソッチョン,933
646,4134,송파나루,Songpanaru,09호선,934,松坡나루,ソンパナル,934
647,4135,한성백제,Hanseong Baekje,09호선,935,漢城百?,ハンソンベクチェ,935
648,4136,올림픽공원,Olympic Park,09호선,936,올림픽公園(韓國體大),オリンピック?コンウォン,936
649,4137,둔촌오륜,Dunchon Oryun,09호선,937,遁村五輪,トゥンチョンオリュン,937
650,4138,중앙보훈병원,VHS Medical Center,09호선,938,中央報?病院,チュンアンボフンビョンウォン,938
653,4123,고속터미널,Express Bus Terminal,09호선,923,高速巴士客運,高速バスタ?ミナル,923
654,4129,봉은사,Bongeunsa,09호선,929,奉恩寺,ポンウンサ,929
667,4304,신사,Sinsa,신분당선,D4,新沙,シンサ,D4
668,4305,논현,Nonhyeon,신분당선,D5,??,ノンヒョン,D5
669,4306,신논현,Sinnonhyeon,신분당선,D6,江南,カンナム,D6
670,4308,양재,Yangjae,신분당선,D8,良才,良才,D8
671,4309,양재시민의숲,Yangjae Citizen's Forest,신분당선,D9,良才市民之林,Yangjae Citizen's Forest,D9
672,4310,청계산입구,Cheonggyesan,신분당선,D10,淸溪山入口,淸溪山入口,1913
673,4311,판교,Pangyo,신분당선,D11,板橋,板橋,1914
674,4312,정자,Jeongja,신분당선,D12,亭子,亭子,1915
675,4313,미금,Migeum,신분당선,D13,美金,ミグム,1916
676,4314,동천,Dongcheon,신분당선,D14,東川,トンチョン,1917
677,4315,수지구청,Suji-gu office,신분당선,D15,水枝區廳,スヅグチョン,1918
678,4316,성복,Seongbok,신분당선,D16,星福,ソンボク,1919
679,4317,상현,Sanghyeon,신분당선,D17,上峴,サンヒョン,1920
680,4318,광교중앙,GwanggyoJungang,신분당선,D18,光敎中央,クァンギョジュンアン,1921
681,4319,광교,Gwanggyo,신분당선,D19,光敎,クァンギョ,1922
759,0150,서울역,Seoul Station,01호선,133,首爾站,ソウル驛,133
760,0151,시청,City Hall,01호선,132,市廳,市廳,132
761,0152,종각,Jonggak,01호선,131,鐘閣,鐘閣,131
762,0153,종로3가,Jongno 3(sam)-ga,01호선,130,鍾路三街,鐘路3街,130
763,0154,종로5가,Jongno 5(o)-ga,01호선,129,鐘路五街,鐘路5街,129
764,0155,동대문,Dongdaemun,01호선,128,東大門,東大門,128
765,0156,신설동,Sinseol-dong,01호선,126,新設洞,新設洞,127
766,0157,제기동,Jegi-dong,01호선,125,祭基洞,祭基洞,126
767,0158,청량리,Cheongnyangni,01호선,124,淸凉里,淸凉里,125
768,0159,동묘앞,Dongmyo,01호선,127,東廟,東廟前,199
769,0200,까치산,Kkachisan,02호선,234-4,喜鵲山,カチ山,264
770,0201,시청,City Hall,02호선,201,市廳,市廳,201
771,0202,을지로입구,Euljiro 1(il)-ga,02호선,202,乙支路入口,乙支路入口,202
