,전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),경로코드
274,0232,구로디지털단지,Guro Digital Complex,02호선,232,九老數碼團地,九老デジタル？地,232
275,0234,신도림,Sindorim,02호선,234,新道林,新道林,234
276,0235,문래,Mullae,02호선,235,文來,文來,235
277,0236,영등포구청,Yeongdeungpo-gu Office,02호선,236,永登浦區廳,永登浦區廳,236
278,0203,을지로3가,Euljiro 3(sam)-ga,02호선,203,乙支路三街,乙支路3街,203
279,0204,을지로4가,Euljiro 4(sa)-ga,02호선,204,乙支路四街,乙支路4街,204
280,0205,동대문역사문화공원,Dongdaemun History  Culture Park,02호선,205,東大門歷史文化公園,東大門歷史文化公園,205
281,0206,신당,Sindang,02호선,206,新堂,新堂,206
282,0207,상왕십리,Sangwangsimni,02호선,207,上往十里,上往十里,207
283,0208,왕십리,Wangsimni,02호선,208,往十里,往十里,208
284,0209,한양대,Hanyang Univ.,02호선,209,漢陽大,漢陽大,209
285,0210,뚝섬,Ttukseom,02호선,210,纛島,トゥクソム,210
286,0211,성수,Seongsu,02호선,211,聖水,聖水,211
287,0212,건대입구,Konkuk Univ.,02호선,212,建大入口,建大入口,212
288,0213,구의,Guui,02호선,213,九宜,九宜,213
289,0214,강변,Gangbyeon,02호선,214,江邊,江邊,214
290,0215,잠실나루,Jamsillaru,02호선,215,蠶室渡口,蠶室ナル,215
291,0420,혜화,Hyehwa,04호선,420,惠化,惠化,420
292,1007,신도림,Sindorim,01호선,140,新道林,新道林,140
293,1701,구로,Guro,01호선,141,九老,九老,141
294,1951,원당,Wondang,03호선,316,元堂,元堂,317
295,0340,가락시장,Garak Market,03호선,350,可樂市場,可樂市場,350
296,0411,노원,Nowon,04호선,411,蘆原,蘆原,411
297,0423,충무로,Chungmuro,04호선,423,忠武路,忠武路,423
298,1003,용산,Yongsan,01호선,135,龍山,龍山,135
305,1405,배방,Baebang,01호선,P174,排芳,排芳,P174
306,1451,경마공원,Seoul Racecourse Park,04호선,436,競馬公園,競馬公園,436
308,1952,화정,Hwajeong,03호선,315,花井,花井,316
309,1953,대곡,Daegok,03호선,314,大谷,大谷,315
310,1954,백석,Baekseok,03호선,313,白石,白石,314
311,1956,정발산,Jeongbalsan,03호선,311,鼎鉢山,鼎鉢山,312
313,2511,방화,Banghwa,05호선,510,傍花,傍花,510
